,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
259,Air Asia,I5-1576/972,"Tue, Feb 15",Goa,Goa,6h 35m,Non Stop,"2,292"
260,IndiGo,6E-886/425,"Tue, Feb 15",Mumbai,Patna,6h 55m,Non Stop,"2,972"
261,IndiGo,6E-484/425,"Wed, Feb 16",Kolkata,Patna,7h 35m,Non Stop,"2,972"
262,IndiGo,6E-6257/425,"Wed, Feb 16",Mumbai,Patna,8h 55m,1 Stop,"2,972"
263,IndiGo,6E-196/6277,"Wed, Feb 16",Kolkata,Patna,9h 10m,Non Stop,"3,553"
264,IndiGo,6E-6353/6277,"Wed, Feb 16",Mumbai,Patna,9h 25m,Non Stop,"3,553"
265,Air India,AI-573,"Wed, Feb 16",Kolkata,Patna,7h 50m,Non Stop,"3,646"
266,IndiGo,6E-5323/6223,"Wed, Feb 16",Mumbai,Patna,9h 45m,Non Stop,"3,795"
267,IndiGo,6E-5365/6223,"Wed, Feb 16",Kolkata,Patna,10h 50m,Non Stop,"3,795"
268,IndiGo,6E-2186/5336,"Wed, Feb 16",Mumbai,Patna,1h 55m,Non Stop,"3,858"
269,IndiGo,6E-2186/2043,"Wed, Feb 16",Kolkata,Patna,2h 00m,Non Stop,"3,858"
270,Vistara,UK-893,"Wed, Feb 16",Mumbai,Hyderabad,2h 00m,1 Stop,"1,714"
271,IndiGo,6E-638,"Wed, Feb 16",Kolkata,Hyderabad,2h 10m,1 Stop,"1,714"
272,IndiGo,6E-6257,"Wed, Feb 16",Mumbai,Hyderabad,1h 55m,1 Stop,"1,714"
273,IndiGo,6E-484,"Wed, Feb 16",Kolkata,Hyderabad,2h 05m,1 Stop,"1,714"
274,Vistara,UK-897,"Wed, Feb 16",Mumbai,Hyderabad,5h 05m,1 Stop,"1,714"
275,IndiGo,6E-6491,"Wed, Feb 16",Kolkata,Hyderabad,1h 50m,,"1,714"
276,IndiGo,6E-855,"Wed, Feb 16",Mumbai,Hyderabad,1h 50m,,"1,714"
277,IndiGo,6E-886,"Wed, Feb 16",Kolkata,Hyderabad,1h 55m,1 Stop,"1,714"
278,Air India,9I-9517,"Wed, Feb 16",Mumbai,Hyderabad,2h 00m,1 Stop,"1,714"
279,IndiGo,6E-6067,"Wed, Feb 16",Kolkata,Hyderabad,1h 40m,1 Stop,"1,714"
280,IndiGo,6E-7204,"Wed, Feb 16",Mumbai,Vijayawada,2h 00m,,"4,338"
281,Air India,9I-9501,"Wed, Mar 2",Dehradun,Vijayawada,2h 05m,,"4,339"
282,IndiGo,6E-484/7211,"Wed, Mar 2",Mumbai,Vijayawada,4h 25m,,"7,278"
283,IndiGo,6E-841/7149,"Wed, Mar 2",Dehradun,Vijayawada,7h 25m,1 Stop,"7,278"
284,IndiGo,6E-6257/7211,"Wed, Mar 2",Mumbai,Vijayawada,9h 30m,2 Stops,"7,278"
285,IndiGo,6E-484/7298,"Wed, Mar 2",Dehradun,Vijayawada,5h 20m,1 Stop,"7,278"
286,IndiGo,6E-6257/7298,"Wed, Mar 2",Mumbai,Vijayawada,3h 50m,2 Stops,"7,278"
287,IndiGo,6E-886/7298,"Wed, Mar 2",Dehradun,Vijayawada,,,"7,541"
288,IndiGo,6E-409/7129,"Wed, Mar 2",Mumbai,Vijayawada,3h 55m,1 Stop,"8,171"
289,Air India,AI-610/809/467,"Wed, Mar 2",Dehradun,Vijayawada,3h 45m,2 Stops,"10,226"
290,IndiGo,6E-6067/944,"Wed, Mar 2",Mumbai,Kolkata,3h 50m,2 Stops,"3,069"
291,IndiGo,6E-6491/944,"Sun, Feb 20",Dehradun,Kolkata,,1 Stop,"3,069"
292,IndiGo,6E-855/165,"Sun, Feb 20",Mumbai,Kolkata,3h 20m,2 Stops,"3,069"
293,IndiGo,6E-638/165,"Sun, Feb 20",Dehradun,Kolkata,,2 Stops,"3,069"
294,Air Asia,I5-1562,"Sun, Feb 20",Mumbai,Kolkata,3h 50m,2 Stops,"3,185"
295,Air India,9I-9517/525,"Sun, Feb 20",Dehradun,Kolkata,7h 20m,2 Stops,"3,226"
296,Air Asia,I5-592,"Sun, Feb 20",Mumbai,Kolkata,,,"3,393"
297,Air Asia,I5-992,"Sun, Feb 20",Dehradun,Kolkata,,,"3,393"
298,Air Asia,I5-2472,"Sun, Feb 20",Mumbai,Kolkata,9h 25m,2 Stops,"3,393"
299,Air Asia,I5-1321,"Sun, Feb 20",Dehradun,Kolkata,4h 35m,1 Stop,"3,393"
300,IndiGo,6E-531,"Sun, Feb 20",Mumbai,Chennai,11h 35m,2 Stops,"1,548"
301,Go First,G8-503,"Wed, Mar 2",Bangalore,Chennai,10h 15m,,"1,548"
302,IndiGo,6E-157,"Wed, Mar 2",Mumbai,Chennai,,,"1,548"
303,IndiGo,6E-438,"Wed, Mar 2",Bangalore,Chennai,,2 Stops,"1,788"
304,IndiGo,6E-6216,"Wed, Mar 2",Mumbai,Chennai,,1 Stop,"1,788"
305,IndiGo,6E-6007,"Wed, Mar 2",Bangalore,Chennai,32h 15m,,"1,788"
306,IndiGo,6E-6151,"Wed, Mar 2",Mumbai,Chennai,33h 26m,,"1,788"
307,IndiGo,6E-514,"Wed, Mar 2",Bangalore,Chennai,39h 40m,1 Stop,"1,788"
308,Air Asia,I5-974/1228,"Wed, Mar 2",Mumbai,Chennai,28h 34m,1 Stop,"3,169"
309,Air Asia,I5-1518/1228,"Wed, Mar 2",Bangalore,Chennai,,,"3,169"
310,Vistara,UK-894,"Wed, Mar 2",Mumbai,Bangalore,25h 30m,,"1,776"
311,Air Asia,I5-974,"Thu, Mar 10",Bangalore,Bangalore,36h 19m,,"1,776"
312,Vistara,UK-898,"Thu, Mar 10",Mumbai,Bangalore,36h 19m,,"1,776"
313,Air Asia,I5-1543,"Thu, Mar 10",Bangalore,Bangalore,25h 30m,2 Stops,"1,776"
314,Air Asia,I5-1518,"Thu, Mar 10",Mumbai,Bangalore,28h 03m,2 Stops,"1,776"
315,IndiGo,6E-6066,"Thu, Mar 10",Bangalore,Bangalore,32h 06m,2 Stops,"1,776"
316,IndiGo,6E-827,"Thu, Mar 10",Mumbai,Bangalore,33h 26m,,"1,776"
317,IndiGo,6E-413,"Thu, Mar 10",Bangalore,Bangalore,46h 40m,,"1,776"
318,Air India,9I-9518,"Thu, Mar 10",Mumbai,Bangalore,,2 Stops,"1,776"
319,IndiGo,6E-7224,"Thu, Mar 10",Bangalore,Bangalore,,1 Stop,"1,776"
320,IndiGo,6E-944,"Thu, Mar 10",Mumbai,Kolkata,22h 40m,2 Stops,"2,395"
321,Air Asia,I5-517,"Mon, Feb 21",Coimbatore,Kolkata,25h 50m,,"2,396"
322,Go First,G8-123,"Mon, Feb 21",Mumbai,Kolkata,24h 55m,,"2,612"
323,Go First,G8-625,"Mon, Feb 21",Coimbatore,Kolkata,,2 Stops,"2,612"
324,IndiGo,6E-6893,"Mon, Feb 21",Mumbai,Kolkata,,,"2,773"
325,IndiGo,6E-283,"Mon, Feb 21",Coimbatore,Kolkata,15h 15m,,"2,815"
326,Air India,AI-525,"Mon, Feb 21",Mumbai,Kolkata,25h 50m,1 Stop,"3,340"
327,Air India,9I-9893/766,"Mon, Feb 21",Coimbatore,Kolkata,,1 Stop,"3,818"
328,Air India,9I-9893/766,"Mon, Feb 21",Mumbai,Kolkata,,1 Stop,"3,818"
329,Air Asia,I5-1543/1321,"Mon, Feb 21",Coimbatore,Kolkata,21h 20m,1 Stop,"4,234"
330,SpiceJet,SG-4050,"Mon, Feb 21",Mumbai,Tirupati,14h 35m,1 Stop,"2,078"
331,SpiceJet,SG-1075,"Wed, Mar 16",Coimbatore,Tirupati,,1 Stop,"2,078"
332,SpiceJet,SG-3729,"Wed, Mar 16",Mumbai,Tirupati,,1 Stop,"2,078"
333,IndiGo,6E-2005,"Wed, Mar 16",Coimbatore,Tirupati,,,"2,080"
334,Air India,AI-542,"Wed, Mar 16",Mumbai,Tirupati,,,"2,080"
335,IndiGo,6E-5217,"Wed, Mar 16",Coimbatore,Tirupati,32h 06m,,"2,080"
336,IndiGo,6E-7263,"Wed, Mar 16",Mumbai,Tirupati,33h 26m,1 Stop,"2,080"
337,IndiGo,6E-7066,"Wed, Mar 16",Coimbatore,Tirupati,46h 40m,1 Stop,"2,394"
338,IndiGo,6E-7201/7251,"Wed, Mar 16",Mumbai,Tirupati,,1 Stop,"3,810"
339,IndiGo,6E-413/7257,"Wed, Mar 16",Coimbatore,Tirupati,,1 Stop,"4,348"
340,IndiGo,6E-6433,"Wed, Mar 16",Mumbai,Goa,22h 40m,,"2,253"
341,Air Asia,I5-1517,"Mon, Feb 21",Kochi,Goa,25h 50m,2 Stops,"2,253"
342,IndiGo,6E-992,"Mon, Feb 21",Mumbai,Goa,24h 55m,2 Stops,"2,253"
343,IndiGo,6E-793,"Mon, Feb 21",Kochi,Goa,,2 Stops,"2,253"
344,Air Asia,I5-972,"Mon, Feb 21",Mumbai,Goa,,,"2,253"
345,IndiGo,6E-743,"Mon, Feb 21",Kochi,Goa,25h 40m,2 Stops,"2,253"
346,SpiceJet,SG-4001,"Mon, Feb 21",Mumbai,Goa,,2 Stops,"2,455"
347,Go First,G8-571,"Mon, Feb 21",Kochi,Goa,,,"2,457"
348,Air India,9I-9881,"Mon, Feb 21",Mumbai,Goa,30h 25m,,"3,125"
349,Air India,9I-9518/9547,"Mon, Feb 21",Kochi,Goa,33h 35m,,"3,613"
350,IndiGo,6E-995,"Mon, Feb 21",Mumbai,Ahmedabad,24h 45m,1 Stop,"2,346"
351,IndiGo,6E-6593,"Thu, Mar 10",Kochi,Ahmedabad,27h 15m,2 Stops,"2,346"
352,IndiGo,6E-216,"Thu, Mar 10",Mumbai,Ahmedabad,36h 50m,,"2,346"
353,IndiGo,6E-827/133,"Thu, Mar 10",Kochi,Ahmedabad,12h 25m,2 Stops,"2,346"
354,IndiGo,6E-132/5392,"Thu, Mar 10",Mumbai,Ahmedabad,40h 00m,,"2,346"
355,IndiGo,6E-827/239,"Thu, Mar 10",Kochi,Ahmedabad,4h 20m,,"2,346"
356,IndiGo,6E-132/5386,"Thu, Mar 10",Mumbai,Ahmedabad,8h 55m,Non Stop,"2,346"
357,IndiGo,6E-6066/133,"Thu, Mar 10",Kochi,Ahmedabad,,Non Stop,"2,346"
358,IndiGo,6E-5207/5392,"Thu, Mar 10",Mumbai,Ahmedabad,,Non Stop,"2,346"
359,IndiGo,6E-2093/926,"Thu, Mar 10",Kochi,Ahmedabad,,Non Stop,"2,346"
360,IndiGo,6E-2349/6034,"Thu, Mar 10",Mumbai,Dehradun,7h 40m,1 Stop,"3,512"
361,IndiGo,6E-6684/6034,"Fri, Feb 4",Jaipur,Dehradun,18h 25m,Non Stop,"3,512"
362,IndiGo,6E-2093/125,"Fri, Feb 4",Mumbai,Dehradun,10h 35m,1 Stop,"3,589"
363,IndiGo,6E-132/953,"Fri, Feb 4",Jaipur,Dehradun,12h 15m,1 Stop,"3,589"
364,IndiGo,6E-2093/2017,"Fri, Feb 4",Mumbai,Dehradun,,1 Stop,"3,589"
365,IndiGo,6E-6737/125,"Fri, Feb 4",Jaipur,Dehradun,40h 53m,1 Stop,"3,589"
366,IndiGo,6E-5207/953,"Fri, Feb 4",Mumbai,Dehradun,34h 56m,1 Stop,"3,589"
367,IndiGo,6E-199/953,"Fri, Feb 4",Jaipur,Dehradun,25h 19m,1 Stop,"3,589"
368,IndiGo,6E-6737/2017,"Fri, Feb 4",Mumbai,Dehradun,,Non Stop,"3,589"
369,SpiceJet,SG-390/2770,"Fri, Feb 4",Jaipur,Dehradun,25h 19m,Non Stop,"3,748"
370,IndiGo,6E-7156/6569,"Fri, Feb 4",Mumbai,Mumbai,24h 39m,Non Stop,"2,252"
371,Air Asia,I5-1518/339,-,Jaipur,Mumbai,,1 Stop,"2,300"
372,Air Asia,I5-1543/1561,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
373,Air Asia,I5-972/472,"Thu, Feb 10",Jaipur,Mumbai,,1 Stop,"2,300"
374,Air Asia,I5-974/941,"Thu, Feb 10",Mumbai,Mumbai,29h 20m,1 Stop,"2,300"
375,Air Asia,I5-766/764,"Thu, Feb 10",Jaipur,Mumbai,30h 55m,1 Stop,"2,300"
376,Air Asia,I5-1543/339,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
377,Air Asia,I5-1517/472,"Thu, Feb 10",Jaipur,Mumbai,39h 55m,1 Stop,"2,300"
378,Air Asia,I5-1518/941,"Thu, Feb 10",Mumbai,Mumbai,,1 Stop,"2,300"
379,Air Asia,I5-972/631,"Thu, Feb 10",Jaipur,Mumbai,,1 Stop,"2,300"
380,IndiGo,6E-6277/2347,"Thu, Feb 10",Mumbai,New Delhi,2h 15m,1 Stop,"2,227"
381,IndiGo,6E-982/2024,"Thu, Feb 10",Varanasi,New Delhi,2h 20m,1 Stop,"2,227"
382,IndiGo,6E-6277/2072,"Tue, Feb 22",Mumbai,New Delhi,2h 20m,1 Stop,"2,227"
383,IndiGo,6E-913/648,"Tue, Feb 22",Varanasi,New Delhi,2h 25m,1 Stop,"2,227"
384,IndiGo,6E-982/2347,"Tue, Feb 22",Mumbai,New Delhi,3h 50m,1 Stop,"2,227"
385,IndiGo,6E-913/7404,"Tue, Feb 22",Varanasi,New Delhi,2h 15m,1 Stop,"2,227"
386,Air India,AI-840,"Tue, Feb 22",Mumbai,New Delhi,8h 45m,Non Stop,"2,276"
387,Air India,AI-541,"Tue, Feb 22",Varanasi,New Delhi,11h 40m,Non Stop,"2,276"
388,Air India,AI-559,"Tue, Feb 22",Mumbai,New Delhi,22h 05m,Non Stop,"2,276"
389,Air India,AI-543,"Tue, Feb 22",Varanasi,New Delhi,25h 00m,1 Stop,"2,276"
390,IndiGo,6E-496/827,"Tue, Feb 22",Mumbai,Bangalore,6h 20m,1 Stop,"3,486"
391,IndiGo,6E-6172/413,"Tue, Feb 22",Varanasi,Bangalore,9h 20m,1 Stop,"3,486"
392,IndiGo,6E-893/6319,"Thu, Mar 3",Mumbai,Bangalore,2h 40m,1 Stop,"3,486"
393,IndiGo,6E-893/371,"Thu, Mar 3",Varanasi,Bangalore,2h 40m,1 Stop,"3,486"
394,IndiGo,6E-6172/6066,"Thu, Mar 3",Mumbai,Bangalore,2h 50m,1 Stop,"3,486"
395,Air Asia,I5-510/1543,"Thu, Mar 3",Varanasi,Bangalore,5h 35m,1 Stop,"3,565"
396,Air Asia,I5-541/1565,"Thu, Mar 3",Mumbai,Bangalore,6h 35m,1 Stop,"3,644"
397,Air Asia,I5-371/1229,"Thu, Mar 3",Varanasi,Bangalore,7h 35m,1 Stop,"3,644"
398,Air Asia,I5-510/1229,"Thu, Mar 3",Mumbai,Bangalore,10h 20m,2 Stop(s),"3,644"
399,Air India,AI-526/9518,"Thu, Mar 3",Varanasi,Bangalore,11h 30m,1 Stop,"3,644"
400,SpiceJet,SG-489,"Thu, Mar 3",Bangalore,Mumbai,4h 50m,1 Stop,"3,378"
401,Air Asia,I5-830/764,"Thu, Mar 3",Jaipur,Mumbai,5h 05m,1 Stop,"3,379"
402,Air Asia,I5-2991/941,"Tue, Mar 22",Bangalore,Mumbai,5h 45m,2 Stop(s),"3,379"
403,Air Asia,I5-547/764,"Tue, Mar 22",Jaipur,Mumbai,7h 25m,1 Stop,"3,379"
404,Air Asia,I5-1563/941,"Tue, Mar 22",Bangalore,Mumbai,8h 45m,1 Stop,"3,379"
405,Air Asia,I5-582/482,"Tue, Mar 22",Jaipur,Mumbai,8h 50m,1 Stop,"3,379"
406,Air Asia,I5-552/482,"Tue, Mar 22",Bangalore,Mumbai,10h 40m,Non Stop,"3,379"
407,Go First,G8-512,"Tue, Mar 22",Jaipur,Mumbai,5h 10m,Non Stop,"3,380"
408,Go First,G8-519,"Tue, Mar 22",Bangalore,Mumbai,5h 25m,Non Stop,"3,380"
409,Vistara,UK-776,"Tue, Mar 22",Jaipur,Mumbai,7h 10m,Non Stop,"3,381"
410,SpiceJet,SG-8264,"Tue, Mar 22",Bangalore,New Delhi,2h 25m,Non Stop,"3,011"
411,Go First,G8-102,"Tue, Mar 22",Jaipur,New Delhi,2h 30m,Non Stop,"3,013"
412,Air Asia,I5-582/768,"Sat, Apr 9",Bangalore,New Delhi,2h 35m,Non Stop,"3,014"
413,Air Asia,I5-588/996,"Sat, Apr 9",Jaipur,New Delhi,6h 20m,Non Stop,"3,014"
414,Air Asia,I5-583/788,"Sat, Apr 9",Bangalore,New Delhi,7h 25m,Non Stop,"3,014"
415,Air Asia,I5-991/749,"Sat, Apr 9",Jaipur,New Delhi,7h 30m,Non Stop,"3,014"
416,Air Asia,I5-582/482,"Sat, Apr 9",Bangalore,New Delhi,7h 55m,Non Stop,"3,014"
417,Air Asia,I5-991/722,"Sat, Apr 9",Jaipur,New Delhi,8h 25m,1 Stop,"3,014"
418,Air Asia,I5-588/749,"Sat, Apr 9",Bangalore,New Delhi,9h 05m,1 Stop,"3,014"
419,Air Asia,I5-2473/996,"Sat, Apr 9",Jaipur,New Delhi,9h 25m,1 Stop,"3,014"
420,Air Asia,I5-991/1782,"Sat, Apr 9",Bangalore,Goa,11h 30m,1 Stop,"4,761"
421,Air Asia,I5-552/775,"Sat, Apr 9",New Delhi,Goa,14h 30m,1 Stop,"4,761"
422,Air Asia,I5-552/798,"Tue, Feb 15",Bangalore,Goa,21h 35m,1 Stop,"4,761"
423,Air Asia,I5-588/1782,"Tue, Feb 15",New Delhi,Goa,7h 50m,1 Stop,"4,761"
424,Air Asia,I5-2991/818,"Tue, Feb 15",Bangalore,Goa,8h 55m,1 Stop,"4,761"
425,Air Asia,I5-2473/972,"Tue, Feb 15",New Delhi,Goa,9h 00m,1 Stop,"4,761"
426,Air Asia,I5-1563/818,"Tue, Feb 15",Bangalore,Goa,9h 30m,1 Stop,"4,761"
427,Air Asia,I5-2473/1782,"Tue, Feb 15",New Delhi,Goa,9h 50m,1 Stop,"4,761"
428,IndiGo,6E-496/905,"Tue, Feb 15",Bangalore,Goa,9h 50m,1 Stop,"4,762"
429,IndiGo,6E-496/793,"Tue, Feb 15",New Delhi,Goa,12h 50m,1 Stop,"4,762"
430,IndiGo,6E-759,"Tue, Feb 15",Bangalore,Chennai,1h 45m,1 Stop,"2,966"
431,IndiGo,6E-271,"Tue, Feb 15",New Delhi,Chennai,2h 00m,Non Stop,"2,966"
432,IndiGo,6E-566,"Thu, Apr 21",Bangalore,Chennai,1h 40m,1 Stop,"2,966"
433,IndiGo,6E-294,"Thu, Apr 21",New Delhi,Chennai,1h 40m,1 Stop,"2,966"
434,Air Asia,I5-360,"Thu, Apr 21",Bangalore,Chennai,1h 45m,1 Stop,"2,966"
435,IndiGo,6E-563,"Thu, Apr 21",New Delhi,Chennai,1h 45m,1 Stop,"2,966"
436,IndiGo,6E-417,"Thu, Apr 21",Bangalore,Chennai,1h 50m,Non Stop,"2,966"
437,IndiGo,6E-192,"Thu, Apr 21",New Delhi,Chennai,1h 50m,Non Stop,"2,966"
438,Air India,AI-765,"Thu, Apr 21",Bangalore,Chennai,1h 55m,Non Stop,"2,966"
439,Air Asia,I5-556,"Thu, Apr 21",New Delhi,Chennai,2h 00m,Non Stop,"2,966"
440,SpiceJet,SG-406/531,"Thu, Apr 21",Bangalore,Pune,1h 30m,Non Stop,"4,445"
441,IndiGo,6E-716/436,"Thu, Apr 21",Lucknow,Pune,3h 10m,Non Stop,"4,608"
442,IndiGo,6E-345/528,"Wed, Mar 23",Bangalore,Pune,4h 35m,Non Stop,"4,709"
443,IndiGo,6E-6128/528,"Wed, Mar 23",Lucknow,Pune,5h 05m,Non Stop,"4,709"
444,Air India,AI-768/853,"Wed, Mar 23",Bangalore,Pune,6h 45m,Non Stop,"4,873"
445,Air India,AI-770/851,"Wed, Mar 23",Lucknow,Pune,7h 45m,Non Stop,"4,873"
446,Air India,AI-768/851,"Wed, Mar 23",Bangalore,Pune,8h 05m,Non Stop,"4,873"
447,Air India,AI-402/851,"Wed, Mar 23",Lucknow,Pune,9h 50m,Non Stop,"4,873"
448,Air India,AI-763/851,"Wed, Mar 23",Bangalore,Pune,10h 15m,1 Stop,"4,873"
449,Air India,AI-770/853,"Wed, Mar 23",Lucknow,Pune,12h 00m,1 Stop,"4,873"
450,IndiGo,6E-725,"Wed, Mar 23",Bangalore,Hyderabad,6h 50m,1 Stop,"2,436"
451,Air India,AI-526,"Wed, Mar 23",Lucknow,Hyderabad,9h 00m,1 Stop,"2,436"
452,IndiGo,6E-563/591,"Thu, Mar 24",Bangalore,Hyderabad,10h 00m,1 Stop,"2,436"
453,IndiGo,6E-417/193,"Thu, Mar 24",Lucknow,Hyderabad,5h 05m,1 Stop,"2,436"
454,IndiGo,6E-294/6217,"Thu, Mar 24",Bangalore,Hyderabad,10h 55m,1 Stop,"2,436"
455,IndiGo,6E-139/5312,"Thu, Mar 24",Lucknow,Hyderabad,2h 25m,2 Stop(s),"2,436"
456,IndiGo,6E-139/354,"Thu, Mar 24",Bangalore,Hyderabad,10h 00m,1 Stop,"2,436"
457,IndiGo,6E-417/6217,"Thu, Mar 24",Lucknow,Hyderabad,11h 05m,1 Stop,"2,436"
458,IndiGo,6E-563/6006,"Thu, Mar 24",Bangalore,Hyderabad,6h 00m,,"2,436"
459,IndiGo,6E-566/495,"Thu, Mar 24",Lucknow,Hyderabad,7h 10m,,"2,436"
460,SpiceJet,SG-3229,"Thu, Mar 24",Bangalore,Bagdogra,1h 00m,1 Stop,"2,059"
461,SpiceJet,SG-4027,"Thu, Mar 24",Guwahati,Bagdogra,1h 05m,1 Stop,"2,059"
462,IndiGo,6E-6891,"Thu, Mar 3",Bangalore,Bagdogra,1h 10m,1 Stop,"2,061"
463,IndiGo,6E-751,"Thu, Mar 3",Guwahati,Bagdogra,1h 10m,,"2,061"
464,Air Asia,I5-582,"Thu, Mar 3",Bangalore,Bagdogra,1h 10m,,"2,061"
465,Go First,G8-538,"Thu, Mar 3",Guwahati,Bagdogra,1h 10m,,"2,061"
466,IndiGo,6E-211,"Thu, Mar 3",Bangalore,Bagdogra,1h 15m,1 Stop,"2,061"
467,IndiGo,6E-6785,"Thu, Mar 3",Guwahati,Bagdogra,1h 20m,2 Stops,"2,061"
468,Air India,AI-721,"Thu, Mar 3",Bangalore,Bagdogra,1h 25m,1 Stop,"2,294"
469,Go First,G8-227/153,"Thu, Mar 3",Guwahati,Bagdogra,1h 30m,2 Stops,"6,470"
470,SpiceJet,SG-8263,"Thu, Mar 3",Bangalore,Port Blair,1h 45m,,"4,421"
471,IndiGo,6E-2106,"Thu, Mar 3",Guwahati,Port Blair,1h 35m,1 Stop,"4,425"
472,Go First,G8-101,"Mon, Feb 21",Bangalore,Port Blair,4h 50m,2 Stops,"4,425"
473,Vistara,UK-747,"Mon, Feb 21",Guwahati,Port Blair,5h 20m,2 Stops,"4,473"
474,Air India,AI-787,"Mon, Feb 21",Bangalore,Port Blair,5h 50m,1 Stop,"4,757"
475,Go First,G8-519/305,"Mon, Feb 21",Guwahati,Port Blair,7h 50m,2 Stops,"6,488"
476,Air India,AI-765/549,"Mon, Feb 21",Bangalore,Port Blair,8h 50m,2 Stops,"8,190"
477,IndiGo,6E-6172/6305,"Mon, Feb 21",Guwahati,Port Blair,5h 40m,2 Stops,"10,112"
478,Air India,AI-770/485,"Mon, Feb 21",Bangalore,Port Blair,5h 30m,2 Stops,"11,836"
479,Air India,AI-768/485,"Mon, Feb 21",Guwahati,Port Blair,24h 50m,,"11,836"
480,IndiGo,6E-613,"Mon, Feb 21",Bangalore,New Delhi,5h 20m,,"1,999"
481,Vistara,UK-834,"Mon, Feb 21",Mumbai,New Delhi,3h 50m,2 Stops,"2,051"
482,Air India,AI-440,"Sun, Feb 20",Bangalore,New Delhi,,1 Stop,"2,271"
483,Air India,AI-539,"Sun, Feb 20",Mumbai,New Delhi,3h 55m,2 Stops,"2,271"
484,Air India,AI-538,"Sun, Feb 20",Bangalore,New Delhi,3h 45m,,"2,271"
485,Air India,AI-430,"Sun, Feb 20",Mumbai,New Delhi,3h 50m,,"2,271"
486,SpiceJet,SG-8104,"Sun, Feb 20",Bangalore,New Delhi,,2 Stops,"2,326"
487,SpiceJet,SG-8108,"Sun, Feb 20",Mumbai,New Delhi,3h 20m,1 Stop,"2,326"
488,IndiGo,6E-2062,"Sun, Feb 20",Bangalore,New Delhi,,,"2,329"
489,IndiGo,6E-6567,"Sun, Feb 20",Mumbai,New Delhi,3h 50m,,"2,329"
490,Air Asia,I5-732/829,"Sun, Feb 20",Bangalore,Kolkata,7h 20m,1 Stop,"3,901"
491,Air Asia,I5-738/548,"Sun, Feb 20",Mumbai,Kolkata,,1 Stop,"3,901"
492,Air Asia,I5-1427/992,"Wed, Mar 2",Bangalore,Kolkata,,,"3,901"
493,Air Asia,I5-1732/2472,"Wed, Mar 2",Mumbai,Kolkata,9h 25m,,"3,901"
494,Air Asia,I5-732/548,"Wed, Mar 2",Bangalore,Kolkata,4h 35m,,"3,901"
495,Air Asia,I5-320/582,"Wed, Mar 2",Mumbai,Kolkata,11h 35m,,"3,901"
496,Air Asia,I5-1427/2472,"Wed, Mar 2",Bangalore,Kolkata,10h 15m,2 Stops,"3,901"
497,IndiGo,6E-453/6016,"Wed, Mar 2",Mumbai,Kolkata,,2 Stops,"4,426"
498,IndiGo,6E-159/183,"Wed, Mar 2",Bangalore,Kolkata,,2 Stops,"4,426"
499,IndiGo,6E-6055/146,"Wed, Mar 2",Mumbai,Kolkata,,,"4,440"
500,IndiGo,6E-925/489,"Wed, Mar 2",Bangalore,Bangalore,32h 15m,,"3,443"
501,Air India,AI-573,"Wed, Mar 2",Goa,Bangalore,33h 26m,2 Stops,"3,669"
502,IndiGo,6E-2685/441,"Thu, Mar 10",Bangalore,Bangalore,39h 40m,1 Stop,"3,669"
503,IndiGo,6E-2163/2188,"Thu, Mar 10",Goa,Bangalore,28h 34m,2 Stops,"3,669"
504,IndiGo,6E-5004/2028,"Thu, Mar 10",Bangalore,Bangalore,,,"3,669"
505,IndiGo,6E-432/6319,"Thu, Mar 10",Goa,Bangalore,25h 30m,,"3,669"
506,IndiGo,6E-432/371,"Thu, Mar 10",Bangalore,Bangalore,36h 19m,2 Stops,"3,669"
507,IndiGo,6E-432/285,"Thu, Mar 10",Goa,Bangalore,36h 19m,,"3,669"
508,IndiGo,6E-2163/2028,"Thu, Mar 10",Bangalore,Bangalore,25h 30m,,"3,669"
509,IndiGo,6E-5004/654,"Thu, Mar 10",Goa,Bangalore,28h 03m,1 Stop,"3,669"
510,IndiGo,6E-2472/397,"Thu, Mar 10",Bangalore,Lucknow,32h 06m,1 Stop,"2,967"
511,IndiGo,6E-159/515,"Thu, Mar 10",Goa,Lucknow,33h 26m,1 Stop,"2,967"
512,IndiGo,6E-2472/2618,"Mon, Feb 21",Bangalore,Lucknow,46h 40m,1 Stop,"2,967"
513,IndiGo,6E-681/6353,"Mon, Feb 21",Goa,Lucknow,,1 Stop,"2,967"
514,IndiGo,6E-6745/7074,"Mon, Feb 21",Bangalore,Lucknow,,1 Stop,"2,967"
515,IndiGo,6E-547/966,"Mon, Feb 21",Goa,Lucknow,22h 40m,1 Stop,"2,967"
516,IndiGo,6E-2472/2843,"Mon, Feb 21",Bangalore,Lucknow,25h 50m,,"2,967"
517,IndiGo,6E-6117/7319,"Mon, Feb 21",Goa,Lucknow,24h 55m,,"2,967"
518,IndiGo,6E-103/6353,"Mon, Feb 21",Bangalore,Lucknow,,,"2,967"
519,IndiGo,6E-2472/2109,"Mon, Feb 21",Goa,Lucknow,,1 Stop,"2,967"
520,Air Asia,I5-336/722,"Mon, Feb 21",Bangalore,New Delhi,15h 15m,1 Stop,"2,336"
